OBSERVATION_TIMESTAMP,OBSERVATION_TEXT,PUMP
4/14/2010 12:00,ESP Failure,pump-419
6/10/2011 17:39,ESP Failure,pump-253
7/18/2013 12:00,Type 2 Failure,pump-253
6/24/2012 12:00,leakage,pump-663
7/7/2012 12:00,Type 2 Failure,pump-663
10/15/2012 12:00,Type 2 Failure,pump-663
9/17/2013 12:00,Type 2 Failure,pump-663
4/9/2013 12:00,ESP Failure,pump-498
6/14/2013 18:01,ESP Failure,pump-498
6/14/2013 18:02,ESP Failure,pump-498
6/14/2013 18:03,ESP Failure,pump-498
6/14/2013 18:04,ESP Failure,pump-498
6/14/2013 18:05,ESP Failure,pump-498
6/14/2013 18:06,ESP Failure,pump-498
6/14/2013 18:07,ESP Failure,pump-498
6/14/2013 18:08,ESP Failure,pump-498
6/14/2013 18:09,ESP Failure,pump-498
6/14/2013 18:10,ESP Failure,pump-498
6/14/2013 18:11,ESP Failure,pump-498
6/14/2013 18:12,ESP Failure,pump-498
6/14/2013 18:13,ESP Failure,pump-498
6/14/2013 18:14,ESP Failure,pump-498
6/14/2013 18:15,ESP Failure,pump-498
6/14/2013 18:16,ESP Failure,pump-498
6/14/2013 18:17,ESP Failure,pump-498
6/14/2013 18:18,ESP Failure,pump-498
6/14/2013 18:19,ESP Failure,pump-498
6/14/2013 18:20,ESP Failure,pump-498
6/14/2013 18:21,ESP Failure,pump-498
6/14/2013 18:22,ESP Failure,pump-498
6/14/2013 18:23,ESP Failure,pump-498
6/14/2013 18:24,ESP Failure,pump-498
6/14/2013 18:25,ESP Failure,pump-498
6/14/2013 18:26,ESP Failure,pump-498
6/14/2013 18:27,ESP Failure,pump-498
6/14/2013 18:28,ESP Failure,pump-498
6/14/2013 18:29,ESP Failure,pump-498
6/14/2013 18:30,ESP Failure,pump-498
6/14/2013 18:31,ESP Failure,pump-498
6/14/2013 18:32,ESP Failure,pump-498
6/14/2013 18:33,ESP Failure,pump-498
6/14/2013 18:34,ESP Failure,pump-498
6/14/2013 18:35,ESP Failure,pump-498
6/14/2013 18:36,ESP Failure,pump-498
6/14/2013 18:37,ESP Failure,pump-498
6/14/2013 18:38,ESP Failure,pump-498
6/14/2013 18:39,ESP Failure,pump-498
6/14/2013 18:40,ESP Failure,pump-498
6/14/2013 18:41,ESP Failure,pump-498
6/14/2013 18:42,ESP Failure,pump-498
6/14/2013 18:43,ESP Failure,pump-498
6/14/2013 18:44,ESP Failure,pump-498
6/14/2013 18:45,ESP Failure,pump-498
6/14/2013 18:46,ESP Failure,pump-498
6/14/2013 18:47,ESP Failure,pump-498
6/14/2013 18:48,ESP Failure,pump-498
6/14/2013 18:49,ESP Failure,pump-498
6/14/2013 18:50,ESP Failure,pump-498
6/14/2013 18:51,ESP Failure,pump-498
6/14/2013 18:52,ESP Failure,pump-498
6/14/2013 18:53,ESP Failure,pump-498
6/14/2013 18:54,ESP Failure,pump-498
