Pump Id, Oil Rate, Gas Rate, Water Rate
pump-419 ,104.553,21.163,752.314
pump-419 ,104.553,5.517,524.807
pump-494 ,104.553,56.1,580.392
pump-494 ,104.553,27.999,715.243
pump-253 ,104.553,6.364,15.767
pump-419 ,104.553,32.673,408.786
pump-419 ,104.553,25.579,370.678
pump-498 ,104.553,70.882,577.084
pump-494 ,104.553,67.228,495.856
pump-663 ,104.553,84.976,424.575
pump-663 ,104.553,2.723,733.168
pump-663 ,104.553,24.661,1139.344
pump-419 ,104.553,24.907,378.029
pump-663 ,104.553,13.501,328.896
pump-663 ,104.553,41.842,1068.629
pump-253 ,104.553,40.072,230.931
pump-494 ,104.553,54.038,389.715
pump-253 ,104.553,41.925,254.658
pump-419 ,104.553,28.79,406.794
pump-419 ,104.553,34.789,784.801
pump-494 ,104.553,42.008,757.567
pump-663 ,104.553,44.34,294.176
pump-253 ,104.553,52.236,1131.468
pump-253 ,104.553,37.094,25.748
pump-419 ,104.553,42.112,672.321
pump-663 ,104.553,34.69,716.397
pump-253 ,104.553,30.83,746.234
pump-498 ,104.553,38.971,215.014
pump-253 ,104.553,15.73,745.836
pump-419 ,104.553,25.057,358.988
pump-498 ,104.553,38.825,274.008
pump-498 ,104.553,38.942,795.184
pump-498 ,104.553,28.416,475.842
pump-498 ,104.553,43.045,575.004
pump-494 ,104.553,83.622,479.631
pump-253 ,104.553,3.397,716.755
pump-494 ,104.553,37.667,679.683
pump-253 ,104.553,34.659,402.612
pump-498 ,104.553,39.372,719.719
pump-494 ,104.553,34.928,458.952
pump-494 ,104.553,29.56,752.059
pump-663 ,104.553,111.206,888.514
pump-663 ,104.553,4.672,493.543
pump-253 ,104.553,26.694,530.488
pump-498 ,104.553,26.117,-179.648
pump-494 ,104.553,24.029,297.741
pump-494 ,104.553,35.904,350.693
pump-663 ,104.553,1.054,543.595
pump-419 ,104.553,53.38,421.052
pump-663 ,104.553,43.893,882.682
pump-419 ,104.553,51.467,365.024
pump-253 ,104.553,66.57,753.078
pump-494 ,104.553,54.679,531.515
pump-494 ,104.553,67.366,223.55
pump-498 ,104.553,2.658,627.034
pump-494 ,104.553,61.492,724.383
pump-253 ,104.553,25.121,771.044
pump-498 ,104.553,32.809,868.717
pump-663 ,104.553,12.144,775.07
pump-253 ,104.553,1.335,395.742
pump-498 ,104.553,33.529,883.577
pump-419 ,104.553,25.929,867.049
pump-663 ,104.553,90.464,778.298
pump-253 ,104.553,11.489,661.923
pump-419 ,104.553,18.769,1045.53
pump-494 ,104.553,3.756,1019.092
pump-663 ,104.553,59.365,440.554
pump-419 ,104.553,34.705,59.876
pump-494 ,104.553,72.467,831.21
pump-253 ,104.553,23.747,482.368
pump-494 ,104.553,57.142,990.67
pump-419 ,104.553,46.809,830.162
pump-253 ,104.553,57.815,550.68
pump-498 ,104.553,15.702,1000.679
pump-419 ,104.553,1.43,711.452
pump-498 ,104.553,24.403,560.85
pump-253 ,104.553,66.553,753.52
pump-253 ,104.553,25.498,590.815
pump-663 ,104.553,35.527,991.925
