pump_id, pressure, temperature, frequency, current
pump-419 , 105.103 , 141.467,35.729,50.257
pump-253 , 101.001 , 144.55,51.059,27.468
pump-253 , 103.709 , 142.001,41.481,27.757
pump-253 , 105.359 , 138.07,40.605,49.112
pump-663 , 103.344 , 141.67,51.713,21.245
pump-498 , 104.348 , 144.683,50.237,20.385
pump-494 , 101.575 , 154.526,42.261,31.805
pump-494 , 107.857 , 142.062,42.197,12.105
pump-663 , 104.863 , 138.525,39.333,-5.646
pump-419 , 103.358 , 142.529,45.755,23.328
pump-494 , 99.36 , 139.687,42.034,0.766
pump-253 , 107.398 , 132.525,43.998,34.834
pump-494 , 104.529 , 154.964,49.883,51.07
pump-498 , 101.049 , 148.657,40.071,55.245
pump-253 , 103.423 , 143.302,42.964,22.372
pump-498 , 102.535 , 140.562,51.095,24.849
pump-419 , 105.835 , 141.99,50.564,57.741
pump-498 , 106.736 , 151.977,46.763,34.627
pump-663 , 104.573 , 142.528,44.154,61.963
pump-663 , 104.511 , 141.015,48.909,65.753
pump-253 , 101.387 , 144.208,44.429,49.819
pump-419 , 103.887 , 136.861,46.114,69.379
pump-253 , 103.71 , 135.724,47.067,26.696
pump-253 , 102.725 , 151.94,42.944,32.012
pump-253 , 103.625 , 148.81,50.433,31.294
pump-419 , 104.187 , 144.98,40.05,27.615
pump-494 , 103.649 , 142.881,39.07,55.116
pump-253 , 100.818 , 149.315,44.512,38.422
pump-498 , 102.961 , 153.044,48.475,49.382
pump-498 , 103.117 , 139.643,47.674,18.279
pump-494 , 103.539 , 142.916,46.072,6.676
pump-663 , 100.024 , 145.239,48.306,98.939
pump-663 , 104.553 , 136.792,38.997,31.639
pump-498 , 102.828 , 144.691,38.76,34.351
pump-498 , 106.119 , 142.556,43.727,31.14
pump-494 , 101.512 , 146.898,44.052,53.984
pump-663 , 102.687 , 153.243,49.053,51.068
pump-419 , 103.586 , 150.6,46.826,26.423
pump-494 , 104.312 , 153.434,44.281,58.294
pump-663 , 105.026 , 138.704,43.275,43.292
pump-494 , 104.475 , 146.136,38.888,49.014
pump-419 , 100.579 , 155.479,38.999,47.263
pump-498 , 101.214 , 137.502,39.073,66.898
pump-253 , 104.04 , 145.824,44.913,18.671
pump-494 , 105.149 , 132.558,43.008,52.139
pump-253 , 104.681 , 153.941,44.211,89.383
pump-663 , 101.373 , 151.386,45.834,62.268
pump-498 , 104.725 , 146.885,43.641,43.346
pump-253 , 102.762 , 153.045,47.375,31.836
pump-494 , 105.204 , 156.492,41.0,50.066
pump-663 , 102.957 , 155.53,43.517,82.096
pump-494 , 103.634 , 157.385,43.746,49.498
pump-419 , 99.708 , 147.883,40.69,11.652
pump-494 , 102.84 , 156.011,44.286,55.933
pump-419 , 102.574 , 143.497,45.682,45.029
pump-494 , 106.809 , 155.21,42.603,46.275
pump-498 , 101.888 , 149.989,39.117,49.583
pump-498 , 106.402 , 140.21,49.759,20.464
pump-419 , 103.754 , 135.063,39.163,47.317
pump-498 , 102.63 , 145.445,46.737,61.905
pump-253 , 97.566 , 133.635,44.451,28.513
pump-663 , 100.71 , 145.539,44.404,67.496
pump-419 , 99.725 , 157.189,47.908,50.249
pump-253 , 104.558 , 145.552,43.452,25.605
pump-253 , 103.595 , 147.249,52.761,55.414
pump-663 , 99.712 , 151.669,57.186,65.712
pump-494 , 101.347 , 151.768,43.511,44.088
pump-498 , 101.441 , 138.108,36.214,45.254
pump-419 , 103.031 , 145.967,43.952,28.112
pump-253 , 105.814 , 146.243,38.013,60.3
pump-253 , 100.514 , 144.985,40.482,28.122
pump-498 , 104.486 , 150.179,40.311,13.276
pump-253 , 102.328 , 139.095,47.275,53.499
pump-253 , 105.122 , 145.641,49.114,4.177
pump-419 , 102.275 , 148.672,42.023,42.135
pump-663 , 101.105 , 145.795,46.232,10.412
pump-253 , 102.58 , 142.561,45.93,25.919
pump-419 , 101.258 , 158.373,41.717,31.206
pump-663 , 103.384 , 140.583,39.822,36.814
pump-663 , 104.384 , 150.267,39.593,42.429
pump-253 , 102.816 , 141.968,45.957,65.315
pump-494 , 104.05 , 135.262,33.489,59.445
pump-498 , 103.121 , 153.958,46.406,11.292
pump-253 , 103.325 , 146.584,40.812,33.191
pump-494 , 102.18 , 142.087,48.384,33.954
pump-419 , 100.371 , 137.646,42.218,59.88
pump-419 , 104.363 , 140.163,46.897,43.626
pump-494 , 105.106 , 145.645,37.358,55.469
pump-253 , 105.091 , 148.803,47.232,48.384
pump-663 , 105.018 , 152.951,47.396,3.454
pump-498 , 103.853 , 152.302,41.306,44.59
pump-498 , 104.477 , 148.016,43.908,50.455
pump-494 , 106.011 , 144.773,43.757,48.709
pump-253 , 107.62 , 139.54,42.152,72.195
pump-419 , 101.623 , 157.767,44.203,43.161
pump-419 , 102.923 , 154.59,51.195,27.118
pump-419 , 103.625 , 141.633,41.362,31.242
pump-494 , 104.901 , 144.592,47.305,11.703
pump-253 , 105.378 , 157.084,46.965,30.88
pump-498 , 106.03 , 144.949,46.495,27.182
pump-253 , 102.013 , 150.054,45.478,33.189
pump-663 , 104.732 , 135.372,40.059,69.807
pump-419 , 104.372 , 151.419,47.935,57.757
pump-494 , 102.71 , 157.256,43.669,53.951
pump-663 , 104.451 , 152.71,40.979,93.145
pump-663 , 106.853 , 147.064,41.678,17.992
pump-663 , 103.644 , 146.656,43.069,20.848
pump-663 , 102.138 , 156.123,41.996,39.733
pump-498 , 100.731 , 141.767,42.594,24.558
pump-253 , 101.732 , 137.378,46.821,35.381
pump-419 , 107.668 , 149.044,38.62,-7.979
pump-253 , 102.772 , 155.472,44.855,29.829
pump-253 , 104.584 , 150.594,42.24,82.575
pump-419 , 102.501 , 141.506,36.755,17.082
pump-419 , 102.415 , 140.17,46.25,25.14
pump-419 , 102.613 , 153.758,42.031,63.429
pump-663 , 100.105 , 156.912,45.141,41.315
pump-494 , 100.01 , 138.69,51.432,-13.545
pump-663 , 102.791 , 157.378,45.291,50.384
pump-253 , 106.672 , 156.37,44.051,16.592
pump-663 , 105.101 , 160.06,37.494,59.258
pump-253 , 105.457 , 153.133,49.436,10.464
pump-253 , 108.063 , 146.746,44.156,30.656
pump-419 , 102.14 , 144.748,42.176,65.189
pump-494 , 102.399 , 149.915,46.699,21.876
pump-419 , 104.062 , 139.376,46.566,52.284
pump-498 , 107.702 , 146.167,44.573,17.676
pump-253 , 101.79 , 144.727,44.122,63.488
pump-494 , 103.105 , 148.082,45.06,2.076
pump-498 , 107.268 , 144.154,44.843,39.153
pump-253 , 101.932 , 145.201,37.544,16.16
pump-419 , 103.927 , 151.2,45.657,46.501
pump-498 , 101.312 , 147.884,40.849,50.346
pump-253 , 108.63 , 148.738,47.031,26.793
pump-494 , 101.917 , 151.024,44.289,30.609
pump-494 , 104.56 , 144.584,42.456,38.045
pump-663 , 104.764 , 137.18,41.977,28.8
